,Date,Open,High,Low,Close,Volume
172,9/8/2022,41,42.169998,40.98,41.849998,11829192
173,9/9/2022,41.880001,42.299999,41.505001,42.189999,7422753
174,9/12/2022,41.810001,41.900002,41.249901,41.41,7905599
175,9/13/2022,40.759998,42.470001,40.470001,41.740002,14334134
176,9/14/2022,41.75,41.91,41.25,41.900002,8098525
177,9/15/2022,41.75,42.439999,41.5,42.139999,9254200
178,9/16/2022,41.830002,41.950001,41.25,41.450001,26474037
179,9/19/2022,41.400002,41.740002,41.209999,41.66,7223513
180,9/20/2022,41.439999,42.110001,40.93,41.68,7229122
181,9/21/2022,41.790001,42.185001,41.27,41.27,7623288
182,9/22/2022,41.389999,41.77,41.25,41.400002,5868083
183,9/23/2022,41.48,41.77,40.845001,41.580002,9139135
184,9/26/2022,41.5,43.519901,40.66,41.52,23916964
185,9/27/2022,41.740002,42.18,41.279999,42.09,8306887
186,9/28/2022,42.59,43.529999,42.380001,43.25,13318872
187,9/29/2022,43,43.169998,42.389999,42.740002,8716979
188,9/30/2022,42.889999,44.66,42.744999,43.84,25890492
189,10/3/2022,43.900002,43.900002,42.23,42.540001,13143223
190,10/4/2022,42.810001,52.299999,42.549999,52,52151860
191,10/5/2022,50.259998,52,50.200001,51.299999,74555835
192,10/6/2022,50.98,51.549999,49.290001,49.389999,68511078
193,10/7/2022,49.02,49.52,48.139999,49.18,32630102
194,10/10/2022,49.66,50.860001,49.5,50.360001,22272449
195,10/11/2022,50.029999,50.550201,49.809299,50.07,11626795
196,10/12/2022,50.009998,50.5,49.810001,49.939999,11827822
197,10/13/2022,49.799999,51.07,49.52,50.34,18641291
198,10/14/2022,50.490002,50.865002,50.299999,50.450001,10075908
199,10/17/2022,50.5,50.900002,50.200001,50.740002,14101270
200,10/18/2022,51.099998,52.099998,50.849998,51.779999,18533907
201,10/19/2022,51.799999,52.16,51.259998,51.830002,Not found
202,10/20/2022,52.200001,52.700001,51.599998,52.439999,25461019
203,10/21/2022,50,50.75,49.549999,49.889999,51209029
204,10/24/2022,50.709999,51.860001,50.52,51.52,22987553
205,10/25/2022,52.415001,53.18,52.200001,52.779999,35077848
206,10/26/2022,52.950001,53.5,52.77,53.349998,28064973
207,10/27/2022,53.91,54,53.700001,53.700001,136345128
